PostalCode,Borough,Neighborhood,Latitude,Longitude
M3A,North York,Parkwood,43.7532586,-79.3296565
M4A,North York,Victoria Villag,43.725882299999995,-79.31557159999998
M5A,Downtown Toronto,Harbourfron,43.6542599,-79.3606359
M5A,Downtown Toronto,Regent Par,43.6542599,-79.3606359
M6A,North York,Lawrence Height,43.718517999999996,-79.46476329999999
M6A,North York,Lawrence Mano,43.718517999999996,-79.46476329999999
M7A,Queen's Park,Queen's Park,43.6623015,-79.3894938
M9A,Etobicoke,Islington Avenu,43.6678556,-79.53224240000002
M1B,Scarborough,Roug,43.806686299999996,-79.19435340000001
M1B,Scarborough,Malver,43.806686299999996,-79.19435340000001
M3B,North York,Don Mills Nort,43.745905799999996,-79.352188
M4B,East York,Woodbine Garden,43.7063972,-79.309937
M4B,East York,Parkview Hil,43.7063972,-79.309937
M5B,Downtown Toronto,Ryerso,43.6571618,-79.37893709999999
M5B,Downtown Toronto,Garden Distric,43.6571618,-79.37893709999999
M6B,North York,Glencair,43.709577,-79.44507259999999
M9B,Etobicoke,Cloverdal,43.6509432,-79.55472440000001
M9B,Etobicoke,Islingto,43.6509432,-79.55472440000001
M9B,Etobicoke,Martin Grov,43.6509432,-79.55472440000001
M9B,Etobicoke,Princess Garden,43.6509432,-79.55472440000001
M9B,Etobicoke,West Deane Par,43.6509432,-79.55472440000001
M1C,Scarborough,Highland Cree,43.7845351,-79.16049709999999
M1C,Scarborough,Rouge Hil,43.7845351,-79.16049709999999
M1C,Scarborough,Port Unio,43.7845351,-79.16049709999999
M3C,North York,Flemingdon Par,43.72589970000001,-79.340923
M3C,North York,Don Mills Sout,43.72589970000001,-79.340923
M4C,East York,Woodbine Height,43.695343900000005,-79.3183887
M5C,Downtown Toronto,St. James Tow,43.6514939,-79.3754179
M6C,York,Humewood-Cedarval,43.6937813,-79.42819140000002
M9C,Etobicoke,Bloordale Garden,43.6435152,-79.57720079999999
M9C,Etobicoke,Eringat,43.6435152,-79.57720079999999
M9C,Etobicoke,Markland Woo,43.6435152,-79.57720079999999
M9C,Etobicoke,Old Burnhamthorp,43.6435152,-79.57720079999999
M1E,Scarborough,Guildwoo,43.7635726,-79.1887115
M1E,Scarborough,Morningsid,43.7635726,-79.1887115
M1E,Scarborough,West Hil,43.7635726,-79.1887115
M4E,East Toronto,The Beache,43.67635739999999,-79.2930312
M5E,Downtown Toronto,Berczy Par,43.644770799999996,-79.3733064
M6E,York,Caledonia-Fairbank,43.6890256,-79.453512
M1G,Scarborough,Wobur,43.7709921,-79.21691740000001
M4G,East York,Leasid,43.7090604,-79.3634517
M5G,Downtown Toronto,Central Bay Stree,43.6579524,-79.3873826
M6G,Downtown Toronto,Christi,43.669542,-79.4225637
